manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Columbia,COLUMBIA-1TIER-TERRA-18x12x72,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 12""D x 72""H",18,12,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x15x36,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 15""D x 36""H",18,15,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x15x48,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 15""D x 48""H",18,15,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x15x60,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 15""D x 60""H",18,15,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x15x72,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 15""D x 72""H",18,15,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x18x36,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 18""D x 36""H",18,18,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x18x48,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 18""D x 48""H",18,18,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x18x60,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 18""D x 60""H",18,18,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-18x18x72,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 18""W x 18""D x 72""H",18,18,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x12x36,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 12""D x 36""H",9,12,36,Floor,,,USD,EA
