manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Penco,PENCO-6047V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 12""D x 48.5""H. 1-tier. Cat.No 6047V",21,12,48.5,,,,USD,EA
Penco,PENCO-6048V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 15""D x 48.5""H. 1-tier. Cat.No 6048V",24,15,48.5,,,,USD,EA
Penco,PENCO-6049V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 30.5""D x 48.5""H. 1-tier. Cat.No 6049V",12,30.5,48.5,,,,USD,EA
Penco,PENCO-6050V,Locker,10 51 13,"Penco Vanguard. Locker. 30.5""W x 12""D x 60""H. 1-tier. Cat.No 6050V",30.5,12,60,,,,USD,EA
Penco,PENCO-6051V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 24""D x 48.5""H. 1-tier. Cat.No 6051V",18,24,48.5,,,,USD,EA
Penco,PENCO-6052V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 60""H. 1-tier. Cat.No 6052V",24,24,60,,,,USD,EA
Penco,PENCO-6053V,Locker,10 51 13,"Penco Vanguard. Locker. 12""D x 60""H. 1-tier. Cat.No 6053V",,12,60,,,,USD,EA
Penco,PENCO-6054V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W. 1-tier. Cat.No 6054V",15,,,,,,USD,EA
Penco,PENCO-6056V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 21""D x 72""H. 1-tier. Cat.No 6056V",9,21,72,,,,USD,EA
Penco,PENCO-6057V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 72""H. 1-tier. Cat.No 6057V",24,24,72,,,,USD,EA
Penco,PENCO-6058V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 12""D x 72""H. 1-tier. Cat.No 6058V",21,12,72,,,,USD,EA
Penco,PENCO-6059V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 15""D x 72""H. 1-tier. Cat.No 6059V",18,15,72,,,,USD,EA
Penco,PENCO-6100V,Locker,10 51 13,"Penco Vanguard. Double Door. 21""W x 12""D x 60""H. 1-tier. Cat.No 6100V",21,12,60,,,,USD,EA
Penco,PENCO-6101V,Locker,10 51 13,"Penco Vanguard. Locker. 30.5""W x 12""D x 60""H. 1-tier. Cat.No 6101V",30.5,12,60,,,,USD,EA
Penco,PENCO-6102V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 18""D x 36.5""H. 1-tier. Cat.No 6102V",18,18,36.5,,,,USD,EA
Penco,PENCO-6103V,Locker,10 51 13,"Penco Vanguard. Locker. 15""D x 60""H. 1-tier. Cat.No 6103V",,15,60,,,,USD,EA
Penco,PENCO-6104V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 21""D x 36.5""H. 1-tier. Cat.No 6104V",21,21,36.5,,,,USD,EA
Penco,PENCO-6105V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 18""D x 60""H. 1-tier. Cat.No 6105V",9,18,60,,,,USD,EA
Penco,PENCO-6106V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 36.5""H. 1-tier. Cat.No 6106V",24,24,36.5,,,,USD,EA
Penco,PENCO-6107V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 36.5""H. 1-tier. Cat.No 6107V",12,12,36.5,,,,USD,EA
Penco,PENCO-6108V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 21""D x 60""H. 1-tier. Cat.No 6108V",21,21,60,,,,USD,EA
Penco,PENCO-6110V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 12""D x 72""H. 1-tier. Cat.No 6110V",24,12,72,,,,USD,EA
